Most time between CMPLNT_FR_DT and RPT_DT,,,
Number, Time, Description,
13389,129.995, RAPE,
55441,112.4874, THEFT-FRAUD,
53977,77.0087, SEX CRIMES,
31634,61.6508, FRAUDS,
908,12.228, PETIT LARCENY OF MOTOR VEHICLE,
2297,10.1868, KIDNAPPING & RELATED OFFENSES,
33,9.1818, HOMICIDE-NEGLIGENT,UNCLASSIFIE
11,6.4545, FORTUNE TELLING,
73718,0.7196, INTOXICATED & IMPAIRED DRIVING,
348416,0.6704, DANGEROUS DRUGS,
75,0.0933, NEW YORK CITY HEALTH CODE,
23,0.087, LOITERING FOR DRUG PURPOSES,
59,0.0678, UNLAWFUL POSS. WEAP. ON SCHOOL,
16,0.0625, LOITERING/DEVIATE SEX,
11,6.4545, FORTUNE TELLING,
