complaint_date,LAW_CAT_CD,count
2006-01-01,FELONY,863
2006-01-01,MISDEMEANOR,1062
2006-01-01,VIOLATION,231
2006-02-01,FELONY,598
2006-02-01,MISDEMEANOR,972
2006-02-01,VIOLATION,202
2006-03-01,FELONY,609
2006-03-01,MISDEMEANOR,965
2006-03-01,VIOLATION,214
2006-04-01,FELONY,558
2006-04-01,MISDEMEANOR,1006
2006-04-01,VIOLATION,194
2006-05-01,FELONY,627
2006-05-01,MISDEMEANOR,965
2006-05-01,VIOLATION,231
2006-06-01,FELONY,633
2006-06-01,MISDEMEANOR,1040
2006-06-01,VIOLATION,281
2006-07-01,FELONY,623
2006-07-01,MISDEMEANOR,972
2006-07-01,VIOLATION,259
2006-08-01,FELONY,635
2006-08-01,MISDEMEANOR,990
2006-08-01,VIOLATION,220
2006-09-01,FELONY,645
2006-09-01,MISDEMEANOR,984
2006-09-01,VIOLATION,213
2006-10-01,FELONY,566
2006-10-01,MISDEMEANOR,917
2006-10-01,VIOLATION,207
2006-11-01,FELONY,675
2006-11-01,MISDEMEANOR,1096
2006-11-01,VIOLATION,245
2006-12-01,FELONY,710
2006-12-01,MISDEMEANOR,916
2006-12-01,VIOLATION,219
2007-01-01,FELONY,864
2007-01-01,MISDEMEANOR,1178
2007-01-01,VIOLATION,217
2007-02-01,FELONY,535
2007-02-01,MISDEMEANOR,912
2007-02-01,VIOLATION,176
2007-03-01,FELONY,553
2007-03-01,MISDEMEANOR,993
2007-03-01,VIOLATION,210
2007-04-01,FELONY,505
2007-04-01,MISDEMEANOR,861
2007-04-01,VIOLATION,177
2007-05-01,FELONY,566
2007-05-01,MISDEMEANOR,1058
2007-05-01,VIOLATION,243
2007-06-01,FELONY,627
2007-06-01,MISDEMEANOR,1081
2007-06-01,VIOLATION,250
2007-07-01,FELONY,550
2007-07-01,MISDEMEANOR,930
2007-07-01,VIOLATION,218
2007-08-01,FELONY,703
2007-08-01,MISDEMEANOR,1132
2007-08-01,VIOLATION,218
2007-09-01,FELONY,608
2007-09-01,MISDEMEANOR,993
2007-09-01,VIOLATION,220
2007-10-01,FELONY,631
2007-10-01,MISDEMEANOR,948
2007-10-01,VIOLATION,230
2007-11-01,FELONY,630
2007-11-01,MISDEMEANOR,1052
2007-11-01,VIOLATION,223
2007-12-01,FELONY,551
2007-12-01,MISDEMEANOR,908
2007-12-01,VIOLATION,146
