LAW_CAT_CD,year,count
FELONY,2006,174965
FELONY,2007,167965
FELONY,2008,164027
FELONY,2009,149714
FELONY,2010,147513
FELONY,2011,148082
FELONY,2012,153697
FELONY,2013,153730
FELONY,2014,150716
FELONY,2015,146137
MISDEMEANOR,2006,294369
MISDEMEANOR,2007,303079
MISDEMEANOR,2008,302578
MISDEMEANOR,2009,301357
MISDEMEANOR,2010,303605
MISDEMEANOR,2011,294697
MISDEMEANOR,2012,292259
MISDEMEANOR,2013,282483
MISDEMEANOR,2014,276770
MISDEMEANOR,2015,260133
VIOLATION,2006,69690
VIOLATION,2007,66157
VIOLATION,2008,62070
VIOLATION,2009,59875
VIOLATION,2010,58607
VIOLATION,2011,55419
VIOLATION,2012,58172
VIOLATION,2013,58745
VIOLATION,2014,62877
VIOLATION,2015,62306
