Average_crimes,depth
1411.8982,0
1417.6906,1
1408.6977,2
1413.1228,3
1377.7813,4
1413.1346,5
1404.4048,6
1328.5862,7
1404.9400,8
1300.3824,9
1407.9615,10
1419.9231,11
1387.2381,12
1377.4091,13
1354.7727,14
1374.0000,15
1385.4000,16
1373.8000,17
1371.7826,18
1344.1250,19
1169.0000,20
1386.2222,21
1351.8571,22
1384.7500,23
1334.4444,24
1568.5000,25
1314.9091,26
1373.4444,27
1364.0909,28
1431.6667,29
1345.3333,30
1276.0000,31
1352.4667,32
1484.0000,33
1339.0000,34
1214.8750,35
1197.7500,36
1164.5000,37
1307.7500,38
1362.1429,39
1312.0000,40
1329.1667,41
1324.5000,42
1256.6667,43
1033.2500,44
1513.5000,45
1296.2500,46
1299.0000,48
1119.6667,49
1350.0000,50
1145.0000,51
1479.0000,52
1204.5000,53
1018.0000,54
1453.0000,55
1288.0000,56
1238.0000,57
1372.5000,58
1353.3333,59
1362.0000,60
1235.5000,61
1213.3333,62
1144.0000,63
1437.6667,64
1364.0000,66
1452.0000,71
907.0000,73
978.0000,75
1284.0000,76
1370.0000,77
1314.0000,82
1217.0000,83
1057.0000,84
1235.0000,85
1206.0000,87
1117.0000,88
1090.0000,90
1094.5000,91
1175.0000,92
1027.0000,98
923.0000,101
1239.0000,106
1059.0000,109
1197.0000,116
1420.0000,117
973.0000,118
1108.0000,119
1154.0000,124
1110.0000,125
1108.0000,126
914.0000,135
846.0000,137
1112.5000,138
879.0000,140
1103.0000,146
950.0000,148
855.0000,152
893.0000,153
1082.5000,170
863.0000,177
1041.0000,189
864.0000,190
1058.5000,192
1029.0000,210
334.0000,211
1105.0000,233
1079.0000,246
898.0000,286
740.0000,288
1109.0000,290
930.0000,291
788.0000,322
568.0000,338
1161.0000,345
612.0000,654
