Average_crimes,TEMP
1084.5000,-12
1159.5000,-11
1064.1429,-10
1208.5556,-9
1261.7692,-8
1160.3750,-7
1176.3684,-6
1225.0000,-5
1188.9091,-4
1219.1800,-3
1259.6452,-2
1282.7973,-1
1245.9318,0
1258.6364,-0
1308.3511,1
1291.0194,2
1341.5902,3
1331.2483,4
1366.2737,5
1338.4286,6
1349.3373,7
1367.9695,8
1335.9180,9
1368.2188,10
1393.8000,11
1411.8583,12
1425.9579,13
1412.9915,14
1450.3226,15
1438.5600,16
1464.3830,17
1479.2250,18
1462.2606,19
1455.4839,20
1469.9606,21
1450.8618,22
1473.0382,23
1467.3696,24
1485.0261,25
1490.1407,26
1456.5200,27
1463.2532,28
1443.2581,29
1481.3889,30
1455.5556,31
1500.0000,32
1420.5000,33
1404.0000,34
