Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PETIT LARCENY,80693,79965,82979,80646,81392,81120,83140,85123,84986,80205
HARRASSMENT 2,68829,65114,61004,58518,57320,54222,56988,57596,61908,61339
ASSAULT 3 & RELATED OFFENSES,52147,51344,50232,50163,52655,50859,54487,53528,53746,51932
CRIMINAL MISCHIEF & RELATED OF,45891,48918,49224,45856,44924,42821,41007,36315,38829,38865
GRAND LARCENY,46222,44654,43744,38972,38040,38838,42911,45380,44033,42067
OFF. AGNST PUB ORD SENSBLTY &,33913,33221,31207,30921,30271,28013,27397,26943,19613,20142
DANGEROUS DRUGS,27982,31088,30961,32604,32925,32840,29372,24442,24314,19194
ROBBERY,23093,21780,22376,18594,19597,19777,20172,19123,16570,16913
BURGLARY,23093,21715,20715,19440,18702,18861,19309,17418,16832,15000
FELONY ASSAULT,17313,17489,16260,16760,17129,18564,19557,20397,20237,20263
,,,,,,,,,,
SEX CRIMES(2nd/3rd deg),4811,4432,4285,4468,4382,4560,4308,3861,4083,4179
SEX CRIMES(1st deg),1133,977,900,882,1026,965,1186,998,940,851
RAPE,1522,1266,1254,1175,1352,1384,1370,1295,1204,1164
DANGEROUS DRUGS(selling/intent to),8153,8913,7698,7011,6020,5607,5309,4994,4473,4451
DANGEROUS WEAPONS (etc),4307,4994,5271,5946,5416,5038,4972,5145,4607,4838
DANGEROUS WEAPONS(1/2/3rd degree),7107,7717,7657,8364,8728,8605,7121,6514,6168,5667
INTOXICATED & IMPAIRED DRIVING,7594,8650,8282,7690,6698,6027,6727,8234,7873,5923
INTOXICATED/IMPAIRED DRIVING,2,0,2,4,8,5,5,5,12,5
DANGEROUS DRUGS(possession),27982,31088,30961,32604,32925,32840,29372,24442,24314,19194
