count(*),mydate
1365,2006-01-01
1314,2006-01-02
1388,2006-01-03
1621,2006-01-04
1655,2006-01-05
1558,2006-01-06
1306,2006-01-07
1274,2006-01-08
1539,2006-01-09
1722,2006-01-10
1577,2006-01-11
1646,2006-01-12
1609,2006-01-13
1299,2006-01-14
1017,2006-01-15
1192,2006-01-16
1466,2006-01-17
1510,2006-01-18
1626,2006-01-19
1583,2006-01-20
1418,2006-01-21
1184,2006-01-22
1613,2006-01-23
1621,2006-01-24
1600,2006-01-25
1493,2006-01-26
1409,2006-01-27
1293,2006-01-28
1196,2006-01-29
1549,2006-01-30
1404,2006-01-31
1548,2006-02-01
1588,2006-02-02
1520,2006-02-03
1335,2006-02-04
1133,2006-02-05
1513,2006-02-06
1566,2006-02-07
1534,2006-02-08
1481,2006-02-09
1469,2006-02-10
1279,2006-02-11
611,2006-02-12
1086,2006-02-13
1304,2006-02-14
1543,2006-02-15
1618,2006-02-16
1596,2006-02-17
1226,2006-02-18
1058,2006-02-19
1249,2006-02-20
1492,2006-02-21
1489,2006-02-22
1450,2006-02-23
1290,2006-02-24
1224,2006-02-25
1042,2006-02-26
1339,2006-02-27
1447,2006-02-28
1525,2006-03-01
1325,2006-03-02
1419,2006-03-03
1261,2006-03-04
1155,2006-03-05
1523,2006-03-06
1515,2006-03-07
1574,2006-03-08
1553,2006-03-09
1576,2006-03-10
1389,2006-03-11
1169,2006-03-12
1523,2006-03-13
1584,2006-03-14
1654,2006-03-15
1527,2006-03-16
1479,2006-03-17
1302,2006-03-18
1153,2006-03-19
1515,2006-03-20
1602,2006-03-21
1606,2006-03-22
1616,2006-03-23
1499,2006-03-24
1321,2006-03-25
1222,2006-03-26
1615,2006-03-27
1547,2006-03-28
1517,2006-03-29
1508,2006-03-30
1449,2006-03-31
1350,2006-04-01
1223,2006-04-02
1417,2006-04-03
1597,2006-04-04
1602,2006-04-05
1577,2006-04-06
1549,2006-04-07
1292,2006-04-08
1229,2006-04-09
1524,2006-04-10
1562,2006-04-11
1708,2006-04-12
1590,2006-04-13
1405,2006-04-14
1294,2006-04-15
1113,2006-04-16
1491,2006-04-17
1507,2006-04-18
1567,2006-04-19
1569,2006-04-20
1479,2006-04-21
1149,2006-04-22
1171,2006-04-23
1480,2006-04-24
1570,2006-04-25
1533,2006-04-26
1575,2006-04-27
1638,2006-04-28
1327,2006-04-29
1231,2006-04-30
1626,2006-05-01
1647,2006-05-02
1590,2006-05-03
1591,2006-05-04
1629,2006-05-05
1376,2006-05-06
1284,2006-05-07
1574,2006-05-08
1608,2006-05-09
1679,2006-05-10
1641,2006-05-11
1513,2006-05-12
1301,2006-05-13
1202,2006-05-14
1520,2006-05-15
1560,2006-05-16
1627,2006-05-17
1584,2006-05-18
1428,2006-05-19
1333,2006-05-20
1252,2006-05-21
1575,2006-05-22
1721,2006-05-23
1600,2006-05-24
1675,2006-05-25
1534,2006-05-26
1332,2006-05-27
1207,2006-05-28
1210,2006-05-29
1779,2006-05-30
1620,2006-05-31
1641,2006-06-01
1445,2006-06-02
1286,2006-06-03
1317,2006-06-04
1595,2006-06-05
1591,2006-06-06
1413,2006-06-07
1501,2006-06-08
1621,2006-06-09
1293,2006-06-10
1254,2006-06-11
1694,2006-06-12
1633,2006-06-13
1700,2006-06-14
1601,2006-06-15
1602,2006-06-16
1369,2006-06-17
1205,2006-06-18
1596,2006-06-19
1802,2006-06-20
1829,2006-06-21
1730,2006-06-22
1675,2006-06-23
1286,2006-06-24
1285,2006-06-25
1642,2006-06-26
1632,2006-06-27
1718,2006-06-28
1585,2006-06-29
1385,2006-06-30
1365,2006-07-01
1247,2006-07-02
1418,2006-07-03
1287,2006-07-04
1791,2006-07-05
1599,2006-07-06
1593,2006-07-07
1380,2006-07-08
1289,2006-07-09
1638,2006-07-10
1635,2006-07-11
1552,2006-07-12
