mydate,count
02/01/05,29
03/01/05,44
04/01/05,25
05/01/05,44
06/01/05,35
07/01/05,23
08/01/05,30
09/01/05,22
10/01/05,18
11/01/05,17
12/01/05,9
13/01/05,13
14/01/05,17
15/01/05,12
16/01/05,12
17/01/05,10
18/01/05,10
19/01/05,13
20/01/05,16
21/01/05,5
22/01/05,10
23/01/05,14
24/01/05,14
25/01/05,15
26/01/05,8
27/01/05,12
28/01/05,6
29/01/05,7
30/01/05,9
31/01/05,19
01/02/05,78
02/02/05,16
03/02/05,8
04/02/05,11
05/02/05,19
06/02/05,8
07/02/05,14
08/02/05,4
09/02/05,6
10/02/05,10
11/02/05,13
12/02/05,4
13/02/05,6
14/02/05,13
15/02/05,20
16/02/05,17
17/02/05,6
18/02/05,8
19/02/05,10
20/02/05,5
21/02/05,7
22/02/05,10
23/02/05,8
24/02/05,15
25/02/05,9
26/02/05,1
27/02/05,1
28/02/05,12
01/03/05,83
02/03/05,15
03/03/05,17
04/03/05,7
05/03/05,17
06/03/05,13
07/03/05,11
08/03/05,7
09/03/05,8
10/03/05,7
11/03/05,4
12/03/05,5
13/03/05,5
14/03/05,15
15/03/05,19
16/03/05,16
17/03/05,7
18/03/05,9
19/03/05,2
20/03/05,5
21/03/05,11
22/03/05,8
23/03/05,8
24/03/05,12
25/03/05,12
26/03/05,3
27/03/05,4
28/03/05,8
29/03/05,8
30/03/05,7
31/03/05,7
01/04/05,86
02/04/05,5
03/04/05,10
04/04/05,17
05/04/05,15
06/04/05,5
07/04/05,7
08/04/05,6
09/04/05,7
10/04/05,6
11/04/05,11
12/04/05,5
13/04/05,4
14/04/05,10
15/04/05,31
16/04/05,7
17/04/05,3
18/04/05,4
19/04/05,10
20/04/05,12
21/04/05,6
22/04/05,10
23/04/05,6
24/04/05,6
25/04/05,14
26/04/05,6
27/04/05,6
28/04/05,9
29/04/05,3
30/04/05,8
01/05/05,84
02/05/05,14
03/05/05,9
04/05/05,5
05/05/05,26
06/05/05,8
07/05/05,7
08/05/05,8
09/05/05,10
10/05/05,8
11/05/05,9
12/05/05,8
13/05/05,7
14/05/05,2
15/05/05,18
16/05/05,9
17/05/05,8
18/05/05,10
19/05/05,11
20/05/05,16
21/05/05,3
22/05/05,4
23/05/05,5
24/05/05,4
25/05/05,22
26/05/05,11
27/05/05,10
28/05/05,6
29/05/05,3
30/05/05,9
31/05/05,7
01/06/05,147
02/06/05,8
03/06/05,7
04/06/05,6
05/06/05,15
06/06/05,16
07/06/05,13
08/06/05,10
09/06/05,12
10/06/05,15
11/06/05,6
12/06/05,4
13/06/05,7
14/06/05,9
15/06/05,33
16/06/05,15
17/06/05,16
18/06/05,11
19/06/05,3
20/06/05,22
21/06/05,13
22/06/05,7
23/06/05,10
24/06/05,7
25/06/05,16
26/06/05,2
27/06/05,13
28/06/05,10
29/06/05,5
30/06/05,11
01/07/05,140
02/07/05,8
03/07/05,5
04/07/05,16
05/07/05,26
06/07/05,9
07/07/05,17
08/07/05,10
09/07/05,6
10/07/05,5
11/07/05,13
12/07/05,13
13/07/05,7
14/07/05,14
15/07/05,20
16/07/05,9
17/07/05,7
18/07/05,10
19/07/05,11
20/07/05,16
21/07/05,11
22/07/05,12
23/07/05,2
24/07/05,5
25/07/05,14
26/07/05,6
27/07/05,12
28/07/05,10
29/07/05,14
30/07/05,7
31/07/05,11
01/08/05,161
02/08/05,13
03/08/05,13
04/08/05,11
05/08/05,27
06/08/05,6
07/08/05,8
08/08/05,22
09/08/05,13
10/08/05,17
11/08/05,10
12/08/05,11
13/08/05,7
14/08/05,11
15/08/05,37
16/08/05,13
17/08/05,14
18/08/05,10
19/08/05,14
20/08/05,19
21/08/05,11
22/08/05,18
23/08/05,11
24/08/05,13
25/08/05,22
26/08/05,12
27/08/05,15
28/08/05,10
29/08/05,12
30/08/05,17
31/08/05,17
01/09/05,187
02/09/05,28
03/09/05,15
04/09/05,10
05/09/05,27
06/09/05,17
07/09/05,21
08/09/05,11
09/09/05,20
10/09/05,19
11/09/05,8
12/09/05,17
13/09/05,13
14/09/05,15
15/09/05,42
16/09/05,14
17/09/05,6
18/09/05,13
19/09/05,20
20/09/05,28
21/09/05,14
22/09/05,16
23/09/05,20
24/09/05,14
25/09/05,15
26/09/05,18
27/09/05,15
28/09/05,23
29/09/05,16
30/09/05,36
01/10/05,207
02/10/05,4
03/10/05,24
04/10/05,14
05/10/05,58
06/10/05,25
07/10/05,18
08/10/05,15
09/10/05,12
10/10/05,44
11/10/05,19
12/10/05,16
13/10/05,14
14/10/05,20
15/10/05,50
16/10/05,7
17/10/05,24
18/10/05,21
19/10/05,25
20/10/05,31
21/10/05,18
22/10/05,12
23/10/05,7
24/10/05,25
25/10/05,31
26/10/05,24
27/10/05,19
28/10/05,30
29/10/05,20
30/10/05,22
31/10/05,42
01/11/05,241
02/11/05,27
03/11/05,28
04/11/05,27
05/11/05,57
06/11/05,14
07/11/05,39
08/11/05,19
09/11/05,20
10/11/05,33
11/11/05,31
12/11/05,23
13/11/05,9
14/11/05,46
15/11/05,74
16/11/05,37
17/11/05,30
18/11/05,50
19/11/05,26
20/11/05,36
21/11/05,38
22/11/05,38
23/11/05,49
24/11/05,34
25/11/05,67
26/11/05,29
27/11/05,32
28/11/05,44
29/11/05,35
30/11/05,69
01/12/05,302
02/12/05,66
03/12/05,57
04/12/05,39
05/12/05,116
06/12/05,43
07/12/05,64
08/12/05,57
09/12/05,57
10/12/05,83
11/12/05,32
12/12/05,99
13/12/05,58
14/12/05,78
15/12/05,194
16/12/05,95
17/12/05,72
18/12/05,59
19/12/05,91
20/12/05,153
21/12/05,103
22/12/05,128
23/12/05,182
24/12/05,126
25/12/05,102
26/12/05,115
27/12/05,152
28/12/05,159
29/12/05,202
30/12/05,363
31/12/05,549
01/01/06,2156
02/01/06,1212
03/01/06,1385
04/01/06,1531
05/01/06,1604
06/01/06,1659
07/01/06,1350
08/01/06,1337
09/01/06,1430
10/01/06,1582
11/01/06,1542
12/01/06,1591
13/01/06,1751
14/01/06,1294
15/01/06,1176
16/01/06,1191
17/01/06,1453
18/01/06,1469
19/01/06,1554
20/01/06,1661
21/01/06,1472
22/01/06,1244
23/01/06,1472
24/01/06,1514
25/01/06,1511
26/01/06,1372
27/01/06,1542
28/01/06,1334
29/01/06,1222
30/01/06,1389
31/01/06,1296
01/02/06,1772
02/02/06,1562
03/02/06,1622
04/02/06,1388
05/02/06,1208
06/02/06,1435
07/02/06,1452
08/02/06,1455
09/02/06,1389
10/02/06,1599
11/02/06,1284
12/02/06,724
13/02/06,1029
14/02/06,1301
15/02/06,1587
16/02/06,1512
17/02/06,1720
18/02/06,1273
19/02/06,1122
20/02/06,1210
21/02/06,1449
22/02/06,1377
23/02/06,1365
24/02/06,1304
25/02/06,1276
26/02/06,1084
27/02/06,1286
28/02/06,1445
01/03/06,1788
02/03/06,1349
03/03/06,1521
04/03/06,1353
05/03/06,1168
06/03/06,1459
07/03/06,1479
08/03/06,1516
09/03/06,1534
10/03/06,1663
11/03/06,1485
12/03/06,1191
13/03/06,1464
14/03/06,1516
15/03/06,1567
16/03/06,1517
17/03/06,1580
18/03/06,1370
19/03/06,1182
20/03/06,1489
21/03/06,1458
22/03/06,1496
23/03/06,1534
24/03/06,1521
25/03/06,1391
26/03/06,1229
27/03/06,1504
28/03/06,1504
29/03/06,1468
30/03/06,1440
31/03/06,1481
01/04/06,1758
02/04/06,1288
03/04/06,1379
04/04/06,1515
05/04/06,1500
06/04/06,1579
07/04/06,1636
08/04/06,1367
09/04/06,1223
10/04/06,1527
11/04/06,1443
12/04/06,1621
13/04/06,1560
14/04/06,1436
15/04/06,1476
16/04/06,1185
17/04/06,1342
18/04/06,1505
19/04/06,1466
20/04/06,1558
21/04/06,1493
22/04/06,1304
23/04/06,1168
24/04/06,1363
25/04/06,1413
26/04/06,1490
27/04/06,1573
28/04/06,1680
29/04/06,1416
30/04/06,1282
01/05/06,1823
02/05/06,1536
03/05/06,1579
04/05/06,1566
05/05/06,1853
06/05/06,1486
07/05/06,1364
08/05/06,1353
09/05/06,1541
10/05/06,1647
11/05/06,1577
12/05/06,1550
13/05/06,1448
14/05/06,1241
15/05/06,1491
16/05/06,1399
17/05/06,1551
18/05/06,1570
19/05/06,1425
20/05/06,1518
21/05/06,1292
22/05/06,1457
23/05/06,1630
24/05/06,1535
25/05/06,1609
26/05/06,1599
27/05/06,1440
28/05/06,1406
29/05/06,1192
30/05/06,1633
31/05/06,1513
01/06/06,1954
02/06/06,1527
03/06/06,1334
04/06/06,1377
05/06/06,1494
06/06/06,1592
07/06/06,1374
08/06/06,1462
09/06/06,1674
10/06/06,1460
11/06/06,1318
12/06/06,1566
13/06/06,1562
14/06/06,1668
15/06/06,1663
16/06/06,1628
17/06/06,1449
18/06/06,1342
19/06/06,1500
20/06/06,1809
21/06/06,1736
22/06/06,1654
23/06/06,1727
24/06/06,1389
25/06/06,1381
26/06/06,1493
27/06/06,1528
28/06/06,1614
29/06/06,1431
30/06/06,1508
01/07/06,1854
02/07/06,1356
03/07/06,1385
04/07/06,1510
05/07/06,1668
06/07/06,1530
07/07/06,1651
08/07/06,1458
09/07/06,1386
10/07/06,1583
11/07/06,1544
12/07/06,1491
13/07/06,1567
14/07/06,1621
15/07/06,1495
16/07/06,1294
17/07/06,1478
18/07/06,1607
19/07/06,1593
20/07/06,1666
21/07/06,1523
22/07/06,1457
23/07/06,1345
24/07/06,1488
25/07/06,1656
26/07/06,1583
27/07/06,1544
28/07/06,1645
