mydate,count(*)
29/09/01,1
02/01/05,4
03/01/05,2
04/01/05,8
05/01/05,1
06/01/05,1
07/01/05,4
08/01/05,3
10/01/05,5
11/01/05,4
13/01/05,1
14/01/05,2
15/01/05,1
16/01/05,1
17/01/05,1
18/01/05,4
19/01/05,2
23/01/05,1
25/01/05,1
27/01/05,3
28/01/05,1
30/01/05,1
31/01/05,4
01/02/05,7
02/02/05,2
03/02/05,1
06/02/05,3
08/02/05,1
10/02/05,1
13/02/05,2
14/02/05,1
15/02/05,1
16/02/05,4
19/02/05,1
20/02/05,1
23/02/05,1
24/02/05,2
27/02/05,1
28/02/05,2
01/03/05,3
02/03/05,5
03/03/05,3
04/03/05,2
05/03/05,2
06/03/05,2
07/03/05,1
08/03/05,1
09/03/05,1
10/03/05,1
11/03/05,1
13/03/05,1
15/03/05,2
16/03/05,2
17/03/05,1
18/03/05,1
19/03/05,1
21/03/05,3
23/03/05,3
24/03/05,2
25/03/05,2
28/03/05,2
29/03/05,2
31/03/05,3
01/04/05,10
02/04/05,1
04/04/05,1
05/04/05,1
06/04/05,4
07/04/05,1
09/04/05,1
10/04/05,1
11/04/05,1
13/04/05,1
15/04/05,3
16/04/05,2
18/04/05,2
19/04/05,1
20/04/05,1
22/04/05,5
23/04/05,2
24/04/05,1
27/04/05,2
28/04/05,3
30/04/05,5
01/05/05,4
02/05/05,2
04/05/05,1
05/05/05,4
06/05/05,2
08/05/05,1
09/05/05,2
11/05/05,1
13/05/05,1
14/05/05,1
15/05/05,1
17/05/05,1
19/05/05,2
20/05/05,5
21/05/05,1
23/05/05,2
25/05/05,1
26/05/05,1
27/05/05,1
29/05/05,2
30/05/05,2
31/05/05,6
01/06/05,10
02/06/05,1
03/06/05,3
05/06/05,2
06/06/05,3
07/06/05,1
09/06/05,2
10/06/05,4
11/06/05,1
12/06/05,3
13/06/05,2
15/06/05,6
16/06/05,4
17/06/05,4
18/06/05,1
20/06/05,7
21/06/05,2
22/06/05,1
23/06/05,2
25/06/05,4
26/06/05,2
27/06/05,4
28/06/05,1
29/06/05,1
30/06/05,16
01/07/05,7
02/07/05,2
03/07/05,1
04/07/05,1
05/07/05,3
06/07/05,2
07/07/05,1
08/07/05,2
10/07/05,2
11/07/05,5
12/07/05,2
13/07/05,2
14/07/05,1
15/07/05,5
16/07/05,1
17/07/05,2
18/07/05,1
19/07/05,4
20/07/05,2
21/07/05,4
24/07/05,1
26/07/05,1
27/07/05,2
28/07/05,1
30/07/05,9
31/07/05,11
01/08/05,11
02/08/05,2
03/08/05,2
04/08/05,3
05/08/05,1
06/08/05,1
07/08/05,4
08/08/05,4
09/08/05,1
10/08/05,7
11/08/05,2
12/08/05,1
13/08/05,3
14/08/05,1
15/08/05,5
16/08/05,5
17/08/05,2
18/08/05,4
19/08/05,1
20/08/05,5
22/08/05,2
23/08/05,2
24/08/05,2
25/08/05,5
26/08/05,1
27/08/05,5
28/08/05,1
29/08/05,2
30/08/05,8
31/08/05,15
01/09/05,24
02/09/05,4
03/09/05,5
04/09/05,3
05/09/05,3
06/09/05,5
07/09/05,3
08/09/05,2
09/09/05,7
10/09/05,4
11/09/05,2
12/09/05,2
13/09/05,3
14/09/05,4
15/09/05,4
16/09/05,3
17/09/05,2
18/09/05,5
19/09/05,5
20/09/05,7
21/09/05,5
22/09/05,5
23/09/05,4
24/09/05,3
25/09/05,1
26/09/05,1
27/09/05,3
28/09/05,7
29/09/05,4
30/09/05,18
01/10/05,14
02/10/05,4
03/10/05,7
04/10/05,3
05/10/05,8
06/10/05,6
07/10/05,4
08/10/05,3
09/10/05,3
10/10/05,4
11/10/05,3
12/10/05,4
13/10/05,2
14/10/05,5
15/10/05,11
16/10/05,9
17/10/05,3
18/10/05,6
19/10/05,9
20/10/05,7
21/10/05,7
22/10/05,6
23/10/05,3
24/10/05,8
25/10/05,5
26/10/05,6
27/10/05,9
28/10/05,12
29/10/05,6
30/10/05,8
31/10/05,16
01/11/05,25
02/11/05,9
03/11/05,9
04/11/05,8
05/11/05,10
06/11/05,2
07/11/05,8
08/11/05,5
