CMPLNT_FR_TM,count(1)
,48
00:00:00,27443
00:00:01,1
00:01:00,67124
00:02:00,1190
00:03:00,841
00:04:00,674
00:05:00,12751
00:06:00,592
00:07:00,595
00:08:00,773
00:09:00,593
00:10:00,11033
00:11:00,438
00:12:00,824
00:13:00,583
00:14:00,577
00:15:00,12638
00:16:00,530
00:17:00,565
00:18:00,694
00:19:00,548
00:20:00,9857
00:21:00,446
00:22:00,526
00:23:00,609
00:24:00,624
00:25:00,5360
00:26:00,489
00:27:00,512
00:28:00,658
00:29:00,493
00:30:00,33365
00:31:00,396
00:32:00,478
00:33:00,516
00:34:00,542
00:35:00,5023
00:36:00,470
00:37:00,528
00:38:00,697
00:39:00,526
00:40:00,8485
00:41:00,390
00:42:00,558
00:43:00,546
00:44:00,486
00:45:00,9817
00:46:00,421
00:47:00,518
00:48:00,691
00:49:00,509
00:50:00,8580
00:51:00,377
00:52:00,538
00:53:00,521
00:54:00,461
00:55:00,4286
00:56:00,441
00:57:00,477
00:58:00,681
00:59:00,454
01:00:00,57060
01:01:00,448
01:02:00,431
01:03:00,531
01:04:00,479
01:05:00,4398
01:06:00,465
01:07:00,513
01:08:00,695
01:09:00,541
01:10:00,8073
01:11:00,423
01:12:00,538
01:13:00,510
01:14:00,516
01:15:00,9392
01:16:00,449
01:17:00,506
01:18:00,697
01:19:00,478
01:20:00,9526
01:21:00,381
01:22:00,521
01:23:00,521
01:24:00,486
01:25:00,4736
01:26:00,426
01:27:00,477
01:28:00,580
01:29:00,403
01:30:00,28362
01:31:00,348
01:32:00,466
01:33:00,494
01:34:00,429
01:35:00,4208
01:36:00,442
01:37:00,448
01:38:00,664
01:39:00,457
01:40:00,8112
01:41:00,346
01:42:00,446
01:43:00,501
01:44:00,433
01:45:00,8585
01:46:00,379
01:47:00,459
01:48:00,560
01:49:00,417
01:50:00,8252
01:51:00,304
01:52:00,414
01:53:00,381
01:54:00,366
01:55:00,3676
01:56:00,404
01:57:00,416
01:58:00,553
01:59:00,346
02:00:00,46057
02:01:00,373
02:02:00,399
02:03:00,399
02:04:00,406
02:05:00,3448
02:06:00,355
02:07:00,411
02:08:00,481
02:09:00,384
02:10:00,6008
02:11:00,367
02:12:00,484
02:13:00,420
02:14:00,453
02:15:00,7624
02:16:00,352
02:17:00,407
02:18:00,546
02:19:00,361
02:20:00,7348
02:21:00,349
02:22:00,411
02:23:00,411
02:24:00,375
02:25:00,3384
02:26:00,341
02:27:00,395
02:28:00,474
02:29:00,331
02:30:00,22632
02:31:00,244
02:32:00,383
02:33:00,391
02:34:00,358
02:35:00,3144
02:36:00,362
