# OFNS_DESC, KY_CD, Number of instances 
KIDNAPPING AND RELATED OFFENSES, 124, 2
KIDNAPPING & RELATED OFFENSES, 124, 2300
KIDNAPPING, 124, 2

OTHER STATE LAWS (NON PENAL LA, 364, 5505
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, 364, 83
OTHER STATE LAWS (NON PENAL LAW), 364, 4

OTHER OFFENSES RELATED TO THEF, 343, 9731
THEFT OF SERVICES, 343, 2778

CHILD ABANDONMENT/NON SUPPORT, 120, 367
ENDAN WELFARE INCOMP, 120, 22

ENDAN WELFARE INCOMP, 345, 122
OFFENSES RELATED TO CHILDREN, 345, 1346

NYS LAWS-UNCLASSIFIED VIOLATION, 677, 6
OTHER STATE LAWS, 677, 233


# COUNT(DISTINCT OFNS_DESC), KY_CD 
# Including missing 
4, 124
4, 364
3, 343
2, 105
2, 106
2, 107
2, 109
2, 111
2, 112
2, 113
2, 116
2, 117
2, 120
2, 121
2, 125
2, 126
2, 230
2, 232
2, 233
2, 235
2, 236
2, 237
2, 340
2, 341
2, 344
2, 345
2, 347
2, 348
2, 350
2, 351
2, 352
2, 355
2, 356
2, 358
2, 359
2, 360
2, 361
2, 365
2, 366
2, 578
2, 675
2, 677
2, 678
1, 101
1, 102
1, 103
1, 104
1, 110
1, 114
1, 115
1, 118
1, 119
1, 122
1, 123
1, 231
1, 234
1, 238
1, 342
1, 346
1, 349
1, 353
1, 354
1, 357
1, 362
1, 363
1, 455
1, 460
1, 571
1, 572
1, 577
1, 672
1, 676
1, 685
1, 881


Not including missing data
2, 120
2, 343
2, 345
2, 677
3, 124
3, 364

