month,year,count
1,2006,24037
2,2006,24178
3,2006,24033
4,2006,24071
5,2006,24002
6,2006,24020
7,2006,24150
8,2006,23989
9,2006,24032
10,2006,24005
11,2006,24067
12,2006,24090
1,2007,24040
2,2007,24202
3,2007,24065
4,2007,24090
5,2007,23985
6,2007,24021
7,2007,23999
8,2007,23988
9,2007,23819
10,2007,23971
11,2007,24088
12,2007,24102
1,2008,24036
2,2008,23870
3,2008,24058
4,2008,24073
5,2008,24036
6,2008,24032
7,2008,24009
8,2008,24004
9,2008,24041
10,2008,24027
11,2008,24125
12,2008,24131
1,2009,24126
2,2009,24192
3,2009,24077
4,2009,24111
5,2009,24051
6,2009,24077
7,2009,24034
8,2009,24018
9,2009,24070
10,2009,24048
11,2009,24103
12,2009,24156
1,2010,24095
2,2010,24263
3,2010,24084
4,2010,24083
5,2010,24048
6,2010,24050
7,2010,24047
8,2010,24050
9,2010,24058
10,2010,24029
11,2010,24110
12,2010,24212
1,2011,24180
2,2011,24213
3,2011,24099
4,2011,24120
5,2011,24067
6,2011,24065
7,2011,24051
8,2011,24081
9,2011,24120
10,2011,24106
11,2011,24116
12,2011,24136
1,2012,24112
2,2012,24159
3,2012,24073
4,2012,24109
5,2012,24045
6,2012,24080
7,2012,24038
8,2012,24025
9,2012,24092
10,2012,24106
11,2012,24234
12,2012,24166
1,2013,24137
2,2013,24236
3,2013,24160
4,2013,24230
5,2013,24088
6,2013,24107
7,2013,24050
8,2013,24054
9,2013,24079
10,2013,24049
11,2013,24136
12,2013,24150
1,2014,24166
2,2014,24255
3,2014,24126
4,2014,24143
5,2014,24059
6,2014,24088
7,2014,24045
8,2014,24051
9,2014,24077
10,2014,24058
11,2014,24188
12,2014,24241
1,2015,24253
2,2015,24313
3,2015,24183
4,2015,24147
5,2015,24097
6,2015,24110
7,2015,24056
8,2015,24042
9,2015,24105
10,2015,24119
11,2015,24164
12,2015,24014
