month,year,count
1,2006,818
2,2006,888
3,2006,816
4,2006,801
5,2006,800
6,2006,809
7,2006,800
8,2006,794
9,2006,815
10,2006,802
11,2006,833
12,2006,844
1,2007,819
2,2007,900
3,2007,832
4,2007,844
5,2007,792
6,2007,809
7,2007,799
8,2007,793
9,2007,802
10,2007,784
11,2007,843
12,2007,850
1,2008,817
2,2008,875
3,2008,828
4,2008,836
5,2008,817
6,2008,815
7,2008,804
8,2008,801
9,2008,819
10,2008,812
11,2008,862
12,2008,865
1,2009,862
2,2009,895
3,2009,838
4,2009,855
5,2009,825
6,2009,838
7,2009,816
8,2009,808
9,2009,834
10,2009,823
11,2009,851
12,2009,877
1,2010,847
2,2010,930
3,2010,841
4,2010,840
5,2010,883
6,2010,824
7,2010,822
8,2010,824
9,2010,828
10,2010,814
11,2010,854
12,2010,905
1,2011,889
2,2011,905
3,2011,849
4,2011,859
5,2011,833
6,2011,831
7,2011,825
8,2011,839
9,2011,859
10,2011,852
11,2011,857
12,2011,867
1,2012,855
2,2012,810
3,2012,836
4,2012,854
5,2012,822
6,2012,839
7,2012,818
8,2012,812
9,2012,845
10,2012,852
11,2012,916
12,2012,882
1,2013,867
2,2013,917
3,2013,879
4,2013,867
5,2013,843
6,2013,853
7,2013,824
8,2013,826
9,2013,839
10,2013,824
11,2013,867
12,2013,874
1,2014,882
2,2014,927
3,2014,862
4,2014,871
5,2014,828
6,2014,843
7,2014,822
8,2014,825
9,2014,838
10,2014,828
11,2014,893
12,2014,920
1,2015,926
2,2015,956
3,2015,891
4,2015,873
5,2015,848
6,2015,854
7,2015,827
8,2015,820
9,2015,852
10,2015,859
11,2015,881
12,2015,881
