period,count,incidences
2006January,818,45351
2006February,888,38308
2006March,816,45529
2006April,801,43621
2006May,800,47106
2006June,809,46199
2006July,800,47088
2006August,794,47729
2006September,815,45606
2006October,802,46919
2006November,833,43818
2006December,844,42703
2007January,819,45203
2007February,900,37062
2007March,832,43926
2007April,844,42709
2007May,792,47919
2007June,809,46155
2007July,799,47239
2007August,793,47774
2007September,802,46859
2007October,784,48660
2007November,843,42811
2007December,850,42063
2008January,817,45370
2008February,875,39592
2008March,828,44268
2008April,836,43531
2008May,817,45393
2008June,815,45599
2008July,804,46734
2008August,801,46991
2008September,819,45160
2008October,812,45859
2008November,862,40923
2008December,865,40614
2009January,862,40875
2009February,895,37579
2009March,838,43319
2009April,855,41646
2009May,825,44644
2009June,838,43343
2009July,816,45468
2009August,808,46290
2009September,834,43699
2009October,823,44785
2009November,851,42023
2009December,877,39385
2010January,847,42415
2010February,930,34054
2010March,841,42975
2010April,840,43054
2010May,883,44773
2010June,824,44673
2010July,822,44853
2010August,824,44667
2010September,828,44276
2010October,814,45720
2010November,854,41700
2010December,905,36568
2011January,889,38185
2011February,905,36557
2011March,849,42231
2011April,859,41165
2011May,833,43835
2011June,831,43955
2011July,825,44628
2011August,839,43161
2011September,859,41205
2011October,852,41869
2011November,857,41398
2011December,867,40387
2012January,855,41568
2012February,810,39247
2012March,836,43537
2012April,854,41720
2012May,822,44947
2012June,839,43204
2012July,818,45294
2012August,812,45929
2012September,845,42602
2012October,852,41906
2012November,916,35490
2012December,882,38897
2013January,867,40357
2013February,917,35364
2013March,879,39198
2013April,867,40441
2013May,843,42802
2013June,853,41823
2013July,824,44689
2013August,826,44487
2013September,839,43234
2013October,824,44751
2013November,867,40410
2013December,874,39686
2014January,882,38884
2014February,927,34419
2014March,862,40895
2014April,871,40017
2014May,828,44254
2014June,843,42769
2014July,822,44913
2014August,825,44626
2014September,838,43329
2014October,828,44281
2014November,893,37805
2014December,920,35127
2015January,926,34533
2015February,956,31540
2015March,891,38023
2015April,873,39846
2015May,848,42321
2015June,854,41662
2015July,827,44379
2015August,820,45096
2015September,852,41942
2015October,859,41250
2015November,881,38995
2015December,881,38991
