month,year,rate
1,2006,5.5
2,2006,5.7
3,2006,5.3
4,2006,5.1
5,2006,4.9
6,2006,4.9
7,2006,5.5
8,2006,5
9,2006,4.5
10,2006,4.5
11,2006,4.5
12,2006,4.4
1,2007,4.7
2,2007,4.8
3,2007,4.9
4,2007,5
5,2007,5.1
6,2007,5.2
7,2007,5.3
8,2007,5.3
9,2007,5.3
10,2007,5.2
11,2007,5.2
12,2007,5.2
1,2008,5.2
2,2008,5.2
3,2008,5.1
4,2008,5.2
5,2008,5.2
6,2008,5.3
7,2008,5.5
8,2008,5.7
9,2008,6
10,2008,6.3
11,2008,6.7
12,2008,7.2
1,2009,7.7
2,2009,8.2
3,2009,8.7
4,2009,8.9
5,2009,9.4
6,2009,9.6
7,2009,9.8
8,2009,10
9,2009,10.1
10,2009,10.2
11,2009,10.2
12,2009,10.1
1,2010,10.1
2,2010,10
3,2010,9.9
4,2010,9.7
5,2010,9.6
6,2010,9.5
7,2010,9.4
8,2010,9.3
9,2010,9.3
10,2010,9.2
11,2010,9.2
12,2010,9.9
1,2011,8.9
2,2011,8.8
3,2011,8.8
4,2011,8.8
5,2011,8.8
6,2011,8.9
7,2011,9
8,2011,9.1
9,2011,9.2
10,2011,9.4
11,2011,9.4
12,2011,9.5
1,2012,9.5
2,2012,9.5
3,2012,9.6
4,2012,9.6
5,2012,9.5
6,2012,9.4
7,2012,9.3
8,2012,9.2
9,2012,9.1
10,2012,9
11,2012,8.9
12,2012,8.9
1,2013,8.9
2,2013,8.8
3,2013,8.8
4,2013,8.7
5,2013,8.7
6,2013,8.8
7,2013,8.8
8,2013,8.8
9,2013,8.7
10,2013,8.6
11,2013,8.4
12,2013,8.2
1,2014,8
2,2014,7.9
3,2014,7.8
4,2014,7.7
5,2014,7.5
6,2014,7.3
7,2014,7.1
8,2014,6.9
9,2014,6.8
10,2014,6.7
11,2014,6.6
12,2014,6.5
1,2015,6.4
2,2015,6.3
3,2015,6.2
4,2015,6
5,2015,5.8
6,2015,5.6
7,2015,5.5
8,2015,5.3
9,2015,5.3
10,2015,5.3
11,2015,5.3
12,2015,5.3
